date,number_documents
2023-08-03,175
2023-08-04,199
2023-08-05,170
2023-08-06,182
2023-08-07,179
2023-08-08,192
2023-08-09,238
2023-08-10,155
2023-08-11,207
2023-08-12,162
2023-08-13,185
2023-08-14,216
2023-08-15,196
2023-08-16,173
2023-08-17,180
2023-08-18,207
2023-08-19,178
2023-08-20,196
2023-08-21,192
2023-08-22,177
2023-08-23,231
2023-08-24,199
2023-08-25,144
2023-08-26,187
2023-08-27,168
2023-08-28,196
2023-08-29,160
2023-08-30,172
2023-08-31,181
2023-09-01,186
2023-09-02,142
2023-09-03,157
2023-09-04,151
2023-09-05,144
2023-09-06,190
2023-09-07,160
2023-09-08,124
2023-09-09,164
2023-09-10,185
2023-09-11,161
2023-09-12,107
2023-09-13,125
2023-09-14,157
2023-09-15,115
2023-09-16,135
2023-09-17,139
2023-09-18,103
2023-09-19,118
2023-09-20,52
2023-09-21,95
2023-09-22,108
2023-09-23,87
2023-09-24,143
2023-09-25,80
2023-09-26,99
2023-09-27,109
2023-09-28,135
2023-09-29,76
2023-09-30,128
2023-10-01,105
2023-10-02,85
2023-10-03,114
2023-10-04,109
2023-10-05,93
2023-10-06,108
2023-10-07,99
2023-10-08,111
2023-10-09,123
2023-10-10,143
2023-10-11,88
2023-10-12,157
2023-10-13,78
2023-10-14,116
2023-10-15,133
2023-10-16,129
2023-10-17,114
2023-10-18,125
2023-10-19,122
2023-10-20,123
2023-10-21,155
2023-10-22,148
2023-10-23,130
2023-10-24,165
2023-10-25,157
2023-10-26,170
2023-10-27,170
2023-10-28,144
2023-10-29,153
2023-10-30,182
2023-10-31,183
2023-11-01,173
2023-11-02,179
2023-11-03,206
2023-11-04,171
2023-11-05,197
2023-11-06,185
2023-11-07,187
2023-11-08,216
2023-11-09,213
2023-11-10,216
2023-11-11,228
2023-11-12,204
2023-11-13,219
2023-11-14,201
2023-11-15,215
2023-11-16,208
2023-11-17,213
2023-11-18,224
2023-11-19,197
2023-11-20,256
2023-11-21,194
2023-11-22,190
2023-11-23,238
2023-11-24,230
2023-11-25,227
2023-11-26,226
2023-11-27,213
2023-11-28,194
2023-11-29,212
2023-11-30,196
2023-12-01,228
2023-12-02,203
2023-12-03,188
2023-12-04,196
2023-12-05,209
2023-12-06,187
2023-12-07,180
2023-12-08,199
2023-12-09,196
2023-12-10,178
2023-12-11,176
2023-12-12,188
2023-12-13,151
2023-12-14,149
2023-12-15,160
2023-12-16,167
2023-12-17,175
2023-12-18,195
2023-12-19,180
2023-12-20,157
2023-12-21,156
2023-12-22,134
2023-12-23,151
2023-12-24,143
2023-12-25,153
2023-12-26,127
2023-12-27,152
2023-12-28,170
2023-12-29,135
2023-12-30,143
2023-12-31,147
2024-01-01,123
2024-01-02,134
2024-01-03,129
2024-01-04,129
2024-01-05,111
2024-01-06,126
2024-01-07,135
2024-01-08,154
2024-01-09,144
2024-01-10,167
2024-01-11,109
2024-01-12,142
2024-01-13,129
2024-01-14,170
2024-01-15,111
2024-01-16,112
2024-01-17,118
2024-01-18,89
2024-01-19,122
2024-01-20,120
2024-01-21,140
2024-01-22,146
2024-01-23,179
2024-01-24,163
2024-01-25,135
2024-01-26,131
2024-01-27,162
2024-01-28,129
2024-01-29,195
2024-01-30,185
2024-01-31,155
2024-02-01,133
2024-02-02,198
2024-02-03,172
2024-02-04,202
2024-02-05,149
2024-02-06,172
2024-02-07,188
2024-02-08,192
2024-02-09,185
2024-02-10,210
2024-02-11,179
2024-02-12,201
2024-02-13,209
2024-02-14,220
2024-02-15,226
2024-02-16,192
2024-02-17,186
2024-02-18,245
2024-02-19,228
2024-02-20,209
2024-02-21,257
2024-02-22,230
2024-02-23,253
2024-02-24,232
2024-02-25,273
2024-02-26,268
2024-02-27,228
2024-02-28,253
2024-02-29,247
2024-03-01,262
2024-03-02,215
2024-03-03,248
2024-03-04,255
2024-03-05,198
2024-03-06,209
2024-03-07,191
2024-03-08,225
2024-03-09,244
2024-03-10,258
2024-03-11,228
2024-03-12,257
2024-03-13,195
2024-03-14,186
2024-03-15,217
2024-03-16,224
2024-03-17,213
2024-03-18,170
2024-03-19,206
2024-03-20,179
2024-03-21,216
2024-03-22,207
2024-03-23,178
2024-03-24,184
2024-03-25,170
2024-03-26,187
2024-03-27,204
2024-03-28,163
2024-03-29,190
2024-03-30,166
2024-03-31,158
2024-04-01,169
2024-04-02,148
2024-04-03,155
2024-04-04,139
2024-04-05,200
2024-04-06,160
2024-04-07,143
2024-04-08,159
2024-04-09,151
2024-04-10,147
2024-04-11,162
2024-04-12,164
2024-04-13,137
2024-04-14,135
2024-04-15,140
2024-04-16,99
2024-04-17,114
2024-04-18,172
2024-04-19,177
2024-04-20,140
2024-04-21,157
2024-04-22,152
2024-04-23,208
2024-04-24,170
2024-04-25,146
2024-04-26,131
2024-04-27,119
2024-04-28,157
2024-04-29,140
2024-04-30,129
2024-05-01,146
2024-05-02,140
2024-05-03,198
2024-05-04,184
2024-05-05,169
2024-05-06,202
2024-05-07,177
2024-05-08,161
2024-05-09,212
2024-05-10,195
2024-05-11,167
2024-05-12,187
2024-05-13,177
2024-05-14,170
2024-05-15,220
2024-05-16,243
2024-05-17,180
2024-05-18,222
2024-05-19,201
2024-05-20,208
2024-05-21,209
2024-05-22,206
2024-05-23,228
2024-05-24,213
2024-05-25,238
2024-05-26,234
2024-05-27,233
2024-05-28,222
2024-05-29,230
2024-05-30,259
2024-05-31,256
2024-06-01,228
2024-06-02,251
2024-06-03,265
2024-06-04,218
2024-06-05,263
2024-06-06,240
2024-06-07,265
2024-06-08,239
2024-06-09,218
2024-06-10,222
2024-06-11,255
2024-06-12,259
2024-06-13,235
2024-06-14,265
2024-06-15,218
2024-06-16,249
2024-06-17,225
2024-06-18,235
2024-06-19,247
2024-06-20,227
2024-06-21,235
2024-06-22,260
2024-06-23,226
2024-06-24,252
2024-06-25,211
2024-06-26,241
2024-06-27,257
2024-06-28,176
2024-06-29,206
2024-06-30,231
2024-07-01,213
2024-07-02,221
2024-07-03,199
2024-07-04,210
2024-07-05,202
2024-07-06,225
2024-07-07,204
2024-07-08,203
2024-07-09,185
2024-07-10,181
2024-07-11,179
2024-07-12,193
2024-07-13,175
2024-07-14,187
2024-07-15,220
2024-07-16,194
2024-07-17,168
2024-07-18,197
2024-07-19,163
2024-07-20,129
2024-07-21,148
2024-07-22,130
2024-07-23,159
2024-07-24,166
2024-07-25,198
2024-07-26,171
2024-07-27,160
2024-07-28,181
2024-07-29,120
2024-07-30,170
2024-07-31,181
2024-08-01,137
2024-08-02,190
2024-08-03,175
2024-08-04,162
2024-08-05,184
2024-08-06,219
2024-08-07,179
2024-08-08,182
2024-08-09,170
2024-08-10,165
2024-08-11,201
2024-08-12,170
2024-08-13,191
2024-08-14,183
2024-08-15,205
2024-08-16,205
2024-08-17,223
2024-08-18,195
2024-08-19,203
2024-08-20,192
2024-08-21,206
2024-08-22,226
2024-08-23,237
2024-08-24,206
2024-08-25,246
2024-08-26,259
2024-08-27,243
2024-08-28,275
2024-08-29,226
2024-08-30,219
2024-08-31,211
2024-09-01,280
2024-09-02,266
2024-09-03,254
2024-09-04,263
2024-09-05,237
2024-09-06,311
2024-09-07,267
2024-09-08,268
2024-09-09,282
2024-09-10,279
2024-09-11,275
2024-09-12,256
2024-09-13,282
2024-09-14,311
2024-09-15,301
2024-09-16,306
2024-09-17,264
2024-09-18,255
2024-09-19,272
2024-09-20,275
2024-09-21,295
2024-09-22,239
2024-09-23,302
2024-09-24,267
2024-09-25,261
2024-09-26,247
2024-09-27,233
2024-09-28,281
2024-09-29,264
2024-09-30,234
2024-10-01,232
2024-10-02,249
2024-10-03,286
2024-10-04,245
2024-10-05,218
2024-10-06,240
2024-10-07,237
2024-10-08,185
2024-10-09,235
2024-10-10,229
2024-10-11,244
2024-10-12,265
2024-10-13,247
2024-10-14,216
2024-10-15,197
2024-10-16,267
2024-10-17,214
2024-10-18,211
2024-10-19,207
2024-10-20,209
2024-10-21,200
2024-10-22,189
2024-10-23,187
2024-10-24,196
2024-10-25,184
2024-10-26,178
2024-10-27,193
2024-10-28,184
2024-10-29,218
2024-10-30,134
2024-10-31,208
2024-11-01,210
2024-11-02,143
2024-11-03,178
2024-11-04,177
2024-11-05,156
2024-11-06,169
2024-11-07,163
2024-11-08,221
2024-11-09,205
2024-11-10,213
2024-11-11,203
2024-11-12,168
2024-11-13,181
2024-11-14,203
2024-11-15,171
2024-11-16,212
2024-11-17,195
2024-11-18,195
2024-11-19,219
2024-11-20,216
2024-11-21,203
2024-11-22,236
2024-11-23,194
2024-11-24,231
2024-11-25,234
2024-11-26,219
2024-11-27,235
2024-11-28,207
2024-11-29,254
2024-11-30,235
2024-12-01,231
2024-12-02,266
2024-12-03,234
2024-12-04,224
2024-12-05,224
2024-12-06,270
2024-12-07,236
2024-12-08,299
2024-12-09,226
2024-12-10,304
2024-12-11,277
2024-12-12,273
2024-12-13,267
2024-12-14,288
2024-12-15,282
2024-12-16,306
2024-12-17,289
2024-12-18,291
2024-12-19,282
2024-12-20,290
2024-12-21,298
2024-12-22,259
2024-12-23,267
2024-12-24,309
2024-12-25,298
2024-12-26,291
2024-12-27,295
2024-12-28,301
2024-12-29,283
2024-12-30,278
2024-12-31,296
2025-01-01,272
2025-01-02,298
2025-01-03,255
2025-01-04,308
2025-01-05,295
2025-01-06,289
2025-01-07,302
2025-01-08,313
2025-01-09,298
2025-01-10,238
2025-01-11,247
2025-01-12,258
2025-01-13,268
2025-01-14,275
2025-01-15,247
2025-01-16,263
2025-01-17,241
2025-01-18,241
2025-01-19,222
2025-01-20,229
2025-01-21,217
2025-01-22,222
2025-01-23,260
2025-01-24,217
2025-01-25,286
2025-01-26,240
2025-01-27,231
2025-01-28,208
2025-01-29,237
2025-01-30,209
2025-01-31,221
2025-02-01,267
2025-02-02,212
2025-02-03,235
2025-02-04,197
2025-02-05,209
2025-02-06,244
2025-02-07,194
2025-02-08,242
2025-02-09,220
2025-02-10,194
2025-02-11,217
2025-02-12,224
2025-02-13,217
2025-02-14,173
2025-02-15,191
2025-02-16,201
2025-02-17,205
2025-02-18,220
2025-02-19,212
2025-02-20,184
2025-02-21,220
2025-02-22,226
2025-02-23,227
2025-02-24,239
2025-02-25,237
2025-02-26,232
2025-02-27,223
2025-02-28,194
2025-03-01,239
2025-03-02,237
2025-03-03,242
2025-03-04,214
2025-03-05,221
2025-03-06,267
2025-03-07,248
2025-03-08,266
2025-03-09,256
2025-03-10,259
2025-03-11,281
2025-03-12,255
2025-03-13,271
2025-03-14,263
2025-03-15,267
2025-03-16,272
2025-03-17,286
2025-03-18,275
2025-03-19,313
2025-03-20,272
2025-03-21,289
2025-03-22,287
2025-03-23,327
2025-03-24,304
2025-03-25,323
2025-03-26,275
2025-03-27,312
2025-03-28,326
2025-03-29,311
2025-03-30,332
2025-03-31,302
2025-04-01,341
2025-04-02,360
2025-04-03,307
2025-04-04,306
2025-04-05,344
2025-04-06,346
2025-04-07,304
2025-04-08,305
2025-04-09,308
2025-04-10,285
2025-04-11,293
2025-04-12,290
2025-04-13,293
2025-04-14,307
2025-04-15,310
2025-04-16,335
2025-04-17,282
2025-04-18,319
2025-04-19,293
2025-04-20,294
2025-04-21,306
2025-04-22,267
2025-04-23,295
2025-04-24,288
2025-04-25,291
2025-04-26,284
2025-04-27,325
2025-04-28,260
2025-04-29,259
2025-04-30,255
2025-05-01,253
2025-05-02,248
2025-05-03,282
2025-05-04,284
2025-05-05,241
2025-05-06,233
2025-05-07,257
2025-05-08,234
2025-05-09,255
2025-05-10,244
2025-05-11,208
2025-05-12,267
2025-05-13,270
2025-05-14,220
2025-05-15,223
2025-05-16,235
2025-05-17,235
2025-05-18,240
2025-05-19,266
2025-05-20,222
2025-05-21,209
2025-05-22,197
2025-05-23,210
2025-05-24,224
2025-05-25,261
2025-05-26,215
2025-05-27,230
2025-05-28,226
2025-05-29,252
2025-05-30,280
2025-05-31,220
2025-06-01,222
2025-06-02,255
2025-06-03,249
2025-06-04,275
2025-06-05,252
2025-06-06,235
2025-06-07,257
2025-06-08,270
2025-06-09,267
2025-06-10,264
2025-06-11,278
2025-06-12,283
2025-06-13,290
2025-06-14,279
2025-06-15,266
2025-06-16,275
2025-06-17,300
2025-06-18,263
2025-06-19,290
2025-06-20,278
2025-06-21,290
2025-06-22,318
2025-06-23,299
2025-06-24,300
2025-06-25,275
2025-06-26,320
2025-06-27,321
2025-06-28,354
2025-06-29,307
2025-06-30,320
2025-07-01,323
2025-07-02,352
2025-07-03,321
2025-07-04,330
2025-07-05,339
2025-07-06,332
2025-07-07,321
2025-07-08,335
2025-07-09,354
2025-07-10,312
2025-07-11,336
2025-07-12,320
2025-07-13,358
2025-07-14,304
2025-07-15,323
2025-07-16,342
2025-07-17,365
2025-07-18,332
2025-07-19,321
2025-07-20,369
2025-07-21,301
2025-07-22,285
2025-07-23,336
2025-07-24,315
2025-07-25,303
2025-07-26,336
2025-07-27,324
2025-07-28,306
2025-07-29,289
2025-07-30,330
2025-07-31,323
2025-08-01,305
2025-08-02,341
2025-08-03,280
2025-08-04,268
2025-08-05,282
2025-08-06,292
2025-08-07,295
2025-08-08,282
2025-08-09,291
2025-08-10,256
2025-08-11,307
2025-08-12,274
2025-08-13,295
2025-08-14,277
2025-08-15,276
2025-08-16,276
2025-08-17,271
2025-08-18,273
2025-08-19,284
2025-08-20,260
2025-08-21,268
2025-08-22,250
2025-08-23,279
2025-08-24,236
2025-08-25,284
2025-08-26,246
2025-08-27,217
2025-08-28,248
2025-08-29,231
2025-08-30,261
2025-08-31,231
2025-09-01,236
2025-09-02,207
2025-09-03,236
2025-09-04,197
2025-09-05,215
2025-09-06,263
2025-09-07,265
2025-09-08,259
2025-09-09,233
2025-09-10,253
2025-09-11,256
2025-09-12,235
2025-09-13,290
2025-09-14,280
2025-09-15,261
2025-09-16,269
2025-09-17,275
2025-09-18,233
2025-09-19,272
2025-09-20,266
2025-09-21,263
2025-09-22,281
2025-09-23,325
2025-09-24,306
2025-09-25,285
2025-09-26,311
